person,title,company
Judith Anderson, Director,	Judy Anderson Advisory
Judith Reinhard, Government Relations Advisor,	CMAX Communications Pty Ltd
Judy Anderson, Special Consultant,	National Advisory Pty Ltd
Julian O'Brien, CEO,	South Break Media
Juliana Plummer, Director,	Hawker Britton Group Pty Ltd
Julie Bishop, Director,	Isdell Pty Ltd
Julie Delvecchio, Consultant,	EJF Advisory Pty Ltd
Justin Fazzolari, Director,	Nexus APAC Pty Ltd
Justin Gasparre, Relationship Manager,	Simplicity One Pty Ltd
Justin Howden, Principal,	Corporate Affairs Advisory
Justin O'Brien, Owner-Director, Upstream Consulting Pty Ltd
Kacey Lam, Partner,	PYNE AND PARTNERS PTY LTD
Kaila Murnain, Associate Partner, Communications	SEC Newgate Pty Limited
Kaitlin Roach, Senior Associate,	Eloquium Group Pty Ltd
Kareece Broadway, Office Manager,	GRA Partners Pty Ltd
Karl Stewart, Research and Data Analyst,	EJF Advisory Pty Ltd
Karly Abbott, Partner,	The Inner Circle Strategic Advisory
Kasun Thotahewa, EMS Engineer,	Nova Systems Australia Pty Ltd
Kate Dykes, Principal,	TG Public Affairs Pty Ltd
Kate Lord, Chief Executive Officer,	AKIN AGENCY PTY LTD
Kate Lynch, Principal,	Kate Elizabeth Lynch
Kate Mills, Director,	PUZZLE CONSULTING PTY LTD
Kate Williams, Advisor,	Headline Advisory Pty Ltd
Kathleen MacDermott, Director,	Mac Dermott Consultants
Kathleen Quinn, Partner,	The Inner Circle Strategic Advisory
Kathy Lindsay, Director,	LINDSAY COMMUNICATION PTY LTD
Katina Hodson-Thomas, Director,	FTI Consulting (Australia) Pty Ltd
Katrine Ronne, General Manager,	Australian Society of Ophthalmologists
Keira McConkey, Associate Director,	Purple Communications Australia Pty Ltd
Kel Watt, Director,	Lady & Professor Pty Ltd
Kelly Dargan, Principal,	Salus Advisory Pty Ltd
Kelly Makarounas-Kirchmann, Principal,	Kirchmann Management Consultants Pty Ltd
Ken McAlpine, Managing Director,	Spring Street Advisory Pty Ltd
Keren Davies, Associate Director,	Cornerstone Group Australia Pty Ltd
Kerry Chikarovski, Director,	The Trustee for CHIKAROVSKI FAMILY TRUST
Kerry Gallagher, Chariman,	Australian Society of Ophthalmologists
Kevin Parer, Managing Director,	Australian Strategic Advisory
Kevin Richardson, President & Managing Director,	Heartland Solutions Group
Kieran Phillips, Associate Partner,	SEC Newgate Pty Limited
Kieran Schneemann, Consultant,	Artem Health Pty Ltd
Kieran Thompson,"Sector Manager Defence, Advanced Manufacturing & Technology",	Dragoman Pty Ltd
Kieren Ash, Director,	Counsel House Pty Ltd
Kirby Anderson, Director,	PolicyWonks
Kirsten Daggar-Nickson, Director,	Cornerstone Group Australia Pty Ltd
Kirsten Mulley, CEO,	GRACosway Pty Ltd
Kirstin Payne, Associate Director,	GRACosway Pty Ltd
Kosmos Samaras, Director,	RedBridge Group Pty Ltd
Kris Gale, Partner,	Michael Johnson Associates Pty Limited
Lachlan Crombie, CEO,	Premier State Consulting Pty Ltd
Lachlan Crombie, CEO,	PremierNational Pty Ltd
Lambros Tapinos, Senior Advisor,	Milner Strategic Services
Laura Sobels, Manager,	CT GROUP (AUSTRALIA) PTY LTD
Leigh Moran, Director,	Counsel House Pty Ltd
Leon Richard Beswick, Managing Partner,	The Civic Partnership Pty Ltd
Leonie Short, Lobbyist,	Hawkshaw Pty Ltd
Lesley Podesta, CEO,	Red Mitten
Leslie Davey, Director,	Comsult(Aust) Pty Ltd
Liam Holt, Analyst,	TG Public Affairs Pty Ltd
Liam Synan, Government Relations Advisor,	CMAX Communications Pty Ltd
Licardo Prince, Director,	Anacta Strategies Pty Ltd
Lidija Ivanovski, Partner,	L Ivanovski and GA Richardson
Lilia Bednarek, Associate Director,	The Shape Agency
Lindsay Barton, Director,	GAFMO Services and Facilitation
Lisa Connor, Administrative Business Partner,	SEC Newgate Pty Limited
Liza White, Communications Consultant,	Clarity Corporate Communications Pty Ltd
LIZA-JAYNE Loch, Executive Chair,	ALPHA Consult Pty Ltd
Llewellyn Rees, Managing Director,	LK Creative as trustee for LK Trust
Louise Easson, Consultant,	Louise Alexander Easson LOBBYING
Louise Yabsley, Director,	Lady & Professor Pty Ltd
Lucy Kozlowski, Partner,	The Civic Partnership Pty Ltd
Luis Garcia, Special Corporate Counsel,	OGILVY PR PTY LTD
Luke Turner,"Director, Policy and Analysis",	TAYLOR STREET ADVISORY PTY LTD
Luke Donnellan, Special Counsel,	The Civic Partnership Pty Ltd
Luke Donnellan, Special Counsel,	CPR Communications & Public Relations Pty Ltd
Luke Forrestal, Director,	GRA Partners Pty Ltd
Lyndal Maloney, Director,	GR CONNECT PTY LTD
Lynton Crosby, Chief Executive,	CT GROUP (AUSTRALIA) PTY LTD
Madeleine Church, Manager,	CT GROUP (AUSTRALIA) PTY LTD
Madeline Davies, Researcher,	Jannette Cotterell LOBBYING
Malcolm Cole, Managing Director,	SAS Consulting Group Pty Ltd
Man Wai (Edmund) Ng, Director,	ED & Associates Pty Ltd
Maree Davenport, Company Director,	Regs and Corporate Advisory Pty. Ltd.
Maria Kelly, Campaigns Consultant,	Essential Media Communications
Mariam Koslay, Public Affairs Specialist,	London Agency Pty Ltd
Mark Reed, Director,	Anacta Strategies Pty Ltd
Mark Abernethy, Senior Consultant,	Wilkinson Butler Pty Ltd
Mark Baker, Principal,	Mark William Baker LOBBYING
Mark Coffey, Managing Director,	Mark Coffey Consulting
Mark Kettle, Director,	Axiom Public Policy
Mark Paterson, Director,	Daymark Public Relations Pty Ltd
Mark Purcell, Senior Advisor,	Pacific Partners Strategic Advocacy Pty Ltd
Mark Sehn, Director,	Meso Consulting Pty Ltd
Mark Sjolander, Managing Director,	Indo Pacific Advisory Pty Ltd
