name	date published	abn	client of
Ark Energy Corporation Pty Ltd	18 September 2024	73 646 809 485	Anacta Strategies Pty Ltd | 64 633 978 677
ARK ENERGY CORPORATION PTY LTD	24 December 2024	73 646 809 485	The Trustee for Popp Family Trust | 48 697 260 710
Armstrong Legal	8 July 2018		Media and Public Affairs Australia | 49 622 979 177
ARNOTT'S BISCUITS LIMITED	4 November 2022	44 008 435 729	GRACosway Pty Ltd | 50 082 123 822
AROSE PTY LTD	26 July 2024	29 620 725 144	SEC Newgate Pty Limited | 38 162 366 056
Arrotex Pty Ltd	2 January 2020		Jannette Cotterell | 51 364 113 263
ARTEC	7 March 2012	81 075 183 578	Paramul Pty Ltd | 37 140 000 602
Arteri Pty Ltd	26 February 2024	36 651 954 817	Australian Corporate Advisory Pty Ltd | 20 654 592 926
Arthur Phillip Pty Ltd	16 May 2024	37 124 225 565	JPG Advisory | 95 646 954 574
Artificial Intelligence and Health Accreditation Pty Ltd	13 November 2023	94 671 571 636	EJF Advisory Pty Ltd | 91 659 678 047
Arundel Estate Developments	5 November 2024		PYNE AND PARTNERS PTY LTD | 81 634 747 363
Arup Australia Services Pty Ltd	7 October 2022	36 625 911 686	LINDSAY COMMUNICATION PTY LTD | 37 660 108 190
ASAC Consultancy Pty Ltd	18 January 2024	14 635 641 691	Banksia Strategic Partners Pty Ltd | 50 660 359 866
ASE Group	27 June 2022	87 164 975 740	BB Win Win Outcomes | 91 671 079 056
ASGP Limited	21 October 2022	16 648 733 304	Cornerstone Group Australia Pty Ltd | 99 153 936 719
Ashurst	9 August 2022	75 304 286 095	Richardson Coutts Pty Ltd | 82 378 912 405
Asia Natural Gas and Energy Association	15 October 2024		WAWN, DAVID ROYLE | 54 178 927 340
Asian Network for Free Elections (ANFREL)	3 July 2024		Walter William Secord | 48 219 768 150
AsiaSpace Ltd	4 May 2012		Comsult(Aust) Pty Ltd | 26 098 280 892
Aspen Medical Pty Ltd	30 April 2019	32 105 250 413	Nexus APAC Pty Ltd | 76 615 655 699
Aspire 4 Life Ltd	4 May 2021	53 615 917 167	H/Advisors APA Pty Ltd | 60 074 901 545
Asset Energy Pty Ltd	10 August 2021	16 120 013 390	H/Advisors APA Pty Ltd | 60 074 901 545
Associazione Sportivo Australia (ASA)	17 March 2014		The Premier Communications Group Pty Ltd. | 73 137 508 555
ASTRALite, Inc.	8 February 2022		Seismic Asia Pacific Pty Ltd | 31 083 755 104
AstraZeneca Pty Ltd	27 April 2023	54 009 682 311	Nexus APAC Pty Ltd | 76 615 655 699
ASX Limited	21 December 2023	98 008 624 691	TSB Advisory Pty Ltd | 90 604 408 826
Atomic Oncology	5 July 2023	84 602 570 472	Forsius Technology Consulting | 70 543 558 011
Atomo Diagnostics	4 July 2022	37 142 925 684	Media and Public Affairs Australia | 49 622 979 177
Audika Australia Pty LTD	11 July 2022	40 061 969 006	Jannette Cotterell | 51 364 113 263
AUJS Limited	28 August 2024	68 058 740 024	Horizon GR Pty Ltd | 72 652 169 170
Aurizn Defence Pty Ltd	22 August 2023	98 159 214 605	PYNE AND PARTNERS PTY LTD | 81 634 747 363
Auror Australia Pty Ltd	12 July 2024	39 607 713 360	Premier State Consulting Pty Ltd | 26 149 964 189
Auror Australia Pty Ltd	12 July 2024	39 607 713 360	PremierNational Pty Ltd | 71 619 450 841
AusBiotech	26 September 2023	87 006 509 726	Nexus APAC Pty Ltd | 76 615 655 699
AusBiotech Ltd. (ABN 87 006 509 726)	31 May 2024	87 006 509 726	H/Advisors APA Pty Ltd | 60 074 901 545
Auscycling Limited	10 July 2024	70 644 149 351	Hawker Britton Group Pty Ltd | 79 109 681 405
AUSCYCLING LIMITED	4 November 2024	70 644 149 351	Hawker Britton Group Pty Ltd | 79 109 681 405
AusEV	19 August 2022	87 657 333 867	Crisis&Comms Co Pty Ltd | 56 637 786 899
Ausfilm International Inc	7 February 2024	18 053 256 504	Hawker Britton Group Pty Ltd | 79 109 681 405
Ausgrid	25 November 2020	78 508 211 731	DPG Advisory Solutions | 14 634 403 115
AusMV Pty Ltd	7 March 2023	23 646 613 112	Crisis&Comms Co Pty Ltd | 56 637 786 899
AusNet Transmission Group Pty Ltd	13 September 2022	78 079 798 173	RedBridge Group Pty Ltd | 11 650 587 867
Austal Limited	4 July 2019		FTI Consulting (Australia) Pty Ltd | 49 160 397 811
Australasian College of Podiatric Surgeons	15 May 2024	48 491 064 210	EH Advisory | 62 669 756 763
Australasian Railway Association	7 February 2023	64 217 302 489	EJF Advisory Pty Ltd | 91 659 678 047
Australasian Sleep Association	14 February 2018		Jannette Cotterell | 51 364 113 263
